지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
140,군산,2006,13.4,-12,20060204,35.7,20060804,9.3,18.4,1016.7,1173.8,124.5,20060726,72.2,2127.2,47.79,,2.5,320,,
140,군산,2007,13.3,-7.3,20070114,32.9,20070825,9.5,17.9,1016.4,1655.5,117.5,20070901,78.3,2046.6,45.98,,2.3,340,,
140,군산,2008,13.3,-11,20081206,34.5,20080810,9.3,18.3,1016.8,901,85.5,20080816,75.8,2252.8,50.5,,2.2,340,,
140,군산,2009,13,-11.4,20090115,32.5,20090809,8.8,17.9,1016.4,1022.7,105.5,20090620,77,2325.4,52.24,,2.3,340,,
140,군산,2010,12.9,-12.7,20100114,34.7,20100809,9,17.6,1017,1347.5,186.5,20100723,77.7,2103.4,47.25,,2.4,340,,
140,군산,2011,12.2,-13.6,20110116,34,20110805,8.3,16.7,1017.3,1634.2,308.5,20110710,74.8,2103.3,47.25,,2.3,340,,
140,군산,2012,12.3,-11.5,20121226,36.1,20120805,8.3,16.8,1016.3,1659.5,251.8,20120813,75.7,2277.2,51.05,,2.4,290,,
140,군산,2013,12.6,-13.5,20130103,34.9,20130807,8.4,17.5,1016.4,1092.4,93.7,20130527,80.7,2398.9,53.89,,2.4,270,,
140,군산,2014,13,-8.8,20140113,35.3,20140731,8.9,18.1,1016.7,1141,117.3,20140825,81.6,2305.6,51.79,,2.1,250,,
140,군산,2015,13.4,-9.1,20150103,34.7,20150807,9.4,18.1,1016.7,895.8,44,20150902,81.8,2307.2,51.83,,2.1,270,,
140,군산,2016,13.8,-13.8,20160124,34.9,20160820,9.8,18.6,1016.7,1144.4,138.8,20160704,81.7,2351.7,52.72,,2.1,290,,
140,군산,2017,13.1,-10,20171214,36.2,20170805,8.8,18.2,1017,774.4,62.1,20170708,76.3,2550.1,57.29,,2.2,270,,
140,군산,2018,13.2,-15,20180127,37.1,20180802,9,18.1,1017,1637.1,210.8,20180701,75.3,2566.9,57.66,,2,360,,
140,군산,2019,13.5,-8.1,20190116,34.9,20190810,9.3,18.4,1016.7,1008.1,83,20191117,75.2,2478,55.66,,,320,,
140,군산,2020,13.4,-10.6,20201231,34.7,20200825,9.4,18.2,1016.9,1664.8,153.8,20200808,75.2,2325.3,52.13,,2.1,320,,
140,군산,2021,13.9,-16.8,20210108,34.4,20210721,9.8,18.9,1017.2,1151.7,67.7,20210708,75.5,2390.1,53.69,,2,290,,
146,전주,1918,,,,35.1,19180807,,,,220.7,62.9,19180701,,,,,,,,
146,전주,1919,12.1,-14.2,19190205,35.3,19190813,7.4,17.9,,1013.8,77.1,19190727,75.3,2549.1,,,1.9,140,1477.5,
146,전주,1920,12.5,-14.6,19200211,34.1,19200630,7.8,18,,1652.1,198.7,19200720,77,2586.5,,,1.6,140,1266.9,
146,전주,1921,11.9,-9.6,19210109,34.9,19210814,7.4,17.3,,1420.6,98.7,19210830,75.7,2374.9,,,1.6,320,1197.5,
146,전주,1922,12.3,-13.3,19220131,35.2,19220614,7.8,17.9,,1199.1,86.5,19220706,74.8,2586.2,,,1.6,160,1311.8,
146,전주,1923,11.7,-15.3,19230117,35.3,19230810,7.4,17.1,1016.5,1261.2,85.7,19230629,75.8,2539.8,,,1.6,160,1184.1,
146,전주,1924,11.8,-13.7,19241212,37.3,19240814,6.9,17.7,1016.9,950.2,138.4,19240722,74.5,2695.6,,,1.7,140,1315.5,
146,전주,1925,11.7,-13.2,19251231,33.4,19250724,7.1,17.2,1016.9,1426.6,154.1,19250807,75.3,2333,,,1.6,140,1181.4,
146,전주,1926,11.6,-12.9,19260106,33.8,19260811,7.2,17,,1340.5,99,19260824,75.6,2318.2,,,1.7,270,1213.3,
146,전주,1927,11.9,-15.1,19270121,35.8,19270628,7.3,17.8,1016.4,1071.9,75.3,19270701,75.6,2469.1,,,1.5,270,1349.1,
146,전주,1928,11.9,-14.8,19280106,34.9,19280826,7.1,17.7,,1013.6,54.4,19280829,75.7,2413.5,,,1.5,320,1301.9,
146,전주,1929,12,-14.5,19290213,37,19290814,7.2,17.9,1017,929,65.6,19290628,74.9,2599.6,,,1.5,270,1463.7,
146,전주,1930,12.4,-12.1,19300120,38.6,19300711,8,17.8,1017,1768.8,127.4,19300711,77.3,2193.1,,,1.4,140,1201.7,
146,전주,1931,11.7,-15.7,19310111,34.6,19310809,7.1,17.3,1016.9,1287.6,80.6,19310803,76.3,2289.9,,,1.5,270,1242.6,
146,전주,1932,12.2,-11.4,19321213,37.1,19320726,7.6,18,1016.8,872.1,112.5,19320804,74.9,2412,,,1.5,270,1304.4,
146,전주,1933,11.8,-17.1,19330127,36.4,19330720,7.2,17.5,1017,1296.1,87.4,19330627,76.1,2402.2,,,1.5,270,1202.8,
146,전주,1934,11.5,-15.5,19340127,35.1,19340807,7,17.4,1017.1,1712.4,107.8,19340723,76,2196.9,,,1.6,290,1088.8,
146,전주,1935,12.5,-12.1,19350207,35.1,19350729,7.5,18.7,1016.3,733.7,51.4,19350813,73.9,2449.9,,,1.6,270,1269.5,
146,전주,1936,11.3,-16.5,19360117,34.5,19360722,6.6,17.3,1016.7,1654,204.6,19360815,75.9,2209.9,,,1.5,270,1018.8,
146,전주,1937,12.7,-11.9,19371227,35.3,19370815,8.1,18.5,1016.7,1244.3,74.1,19370906,76.5,2328.6,,,1.4,270,1105.9,
